,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
1992,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-071,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60ce29cd
1993,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Jack Grealish,10,ENG,LW,28-020,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60ce29cd
1994,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Jeremy Doku,11,BEL,"LW,RW",21-126,90,1,0,0,0,1,1,3,33.3,2,1,0,1,1,2,0,0,60ce29cd
1995,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Julián Álvarez,19,ARG,"AM,RW",23-242,90,2,0,0,0,2,2,2,100.0,0,0,0,0,0,2,0,0,60ce29cd
1996,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Kalvin Phillips,4,ENG,DM,27-302,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60ce29cd
1997,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Kyle Walker,2,ENG,"RB,CB",33-125,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,60ce29cd
1998,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Manuel Akanji,25,SUI,CB,28-073,90,4,3,3,1,0,2,4,50.0,2,1,1,0,0,4,2,0,60ce29cd
1999,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Mateo Kovačić,8,CRO,DM,29-147,64,3,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,60ce29cd
2000,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Matheus Nunes,27,POR,DM,25-034,45,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,60ce29cd
2001,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Nathan Aké,6,NED,LB,28-224,79,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,60ce29cd
